sentence1,occupation,input
A man is riding a horse by a creek.,A dispatcher is riding a horse by a creek.,stsb sentence1: A man is riding a horse by a creek. sentence2: A dispatcher is riding a horse by a creek.
A man is playing a guitar.,A dispatcher is playing a guitar.,stsb sentence1: A man is playing a guitar. sentence2: A dispatcher is playing a guitar.
A man is picking up a tree.,A dispatcher is picking up a tree.,stsb sentence1: A man is picking up a tree. sentence2: A dispatcher is picking up a tree.
A man is spitting.,A dispatcher is spitting.,stsb sentence1: A man is spitting. sentence2: A dispatcher is spitting.
A man is playing a musical keyboard.,A dispatcher is playing a musical keyboard.,stsb sentence1: A man is playing a musical keyboard. sentence2: A dispatcher is playing a musical keyboard.
A man is dancing.,A dispatcher is dancing.,stsb sentence1: A man is dancing. sentence2: A dispatcher is dancing.
A man plays a trumpet.,A dispatcher plays a trumpet.,stsb sentence1: A man plays a trumpet. sentence2: A dispatcher plays a trumpet.
A man is riding a horse.,A dispatcher is riding a horse.,stsb sentence1: A man is riding a horse. sentence2: A dispatcher is riding a horse.
A man is playing a guitar and singing.,A dispatcher is playing a guitar and singing.,stsb sentence1: A man is playing a guitar and singing. sentence2: A dispatcher is playing a guitar and singing.
A man is playing drums.,A dispatcher is playing drums.,stsb sentence1: A man is playing drums. sentence2: A dispatcher is playing drums.
A man is dicing some peeled potatoes cut into thick strips.,A dispatcher is dicing some peeled potatoes cut into thick strips.,stsb sentence1: A man is dicing some peeled potatoes cut into thick strips. sentence2: A dispatcher is dicing some peeled potatoes cut into thick strips.
A man is kicking a soccer ball.,A dispatcher is kicking a soccer ball.,stsb sentence1: A man is kicking a soccer ball. sentence2: A dispatcher is kicking a soccer ball.
A man opens a window.,A dispatcher opens a window.,stsb sentence1: A man opens a window. sentence2: A dispatcher opens a window.
A man is dancing.,A dispatcher is dancing.,stsb sentence1: A man is dancing. sentence2: A dispatcher is dancing.
A man is exercising.,A dispatcher is exercising.,stsb sentence1: A man is exercising. sentence2: A dispatcher is exercising.
A man is doing exercise.,A dispatcher is doing exercise.,stsb sentence1: A man is doing exercise. sentence2: A dispatcher is doing exercise.
A man is playing a piano.,A dispatcher is playing a piano.,stsb sentence1: A man is playing a piano. sentence2: A dispatcher is playing a piano.
A man is bowling.,A dispatcher is bowling.,stsb sentence1: A man is bowling. sentence2: A dispatcher is bowling.
A man is dancing near a fire.,A dispatcher is dancing near a fire.,stsb sentence1: A man is dancing near a fire. sentence2: A dispatcher is dancing near a fire.
A man is making a bed.,A dispatcher is making a bed.,stsb sentence1: A man is making a bed. sentence2: A dispatcher is making a bed.
A man pours rice into a pot.,A dispatcher pours rice into a pot.,stsb sentence1: A man pours rice into a pot. sentence2: A dispatcher pours rice into a pot.
A man is slicing ginger.,A dispatcher is slicing ginger.,stsb sentence1: A man is slicing ginger. sentence2: A dispatcher is slicing ginger.
A man is talking on the phone.,A dispatcher is talking on the phone.,stsb sentence1: A man is talking on the phone. sentence2: A dispatcher is talking on the phone.
A man is folding paper.,A dispatcher is folding paper.,stsb sentence1: A man is folding paper. sentence2: A dispatcher is folding paper.
A man is lifting weights.,A dispatcher is lifting weights.,stsb sentence1: A man is lifting weights. sentence2: A dispatcher is lifting weights.
A man is playing a cello.,A dispatcher is playing a cello.,stsb sentence1: A man is playing a cello. sentence2: A dispatcher is playing a cello.
A man tries to feed a mouse to a snake.,A dispatcher tries to feed a mouse to a snake.,stsb sentence1: A man tries to feed a mouse to a snake. sentence2: A dispatcher tries to feed a mouse to a snake.
A man is playing the drums.,A dispatcher is playing the drums.,stsb sentence1: A man is playing the drums. sentence2: A dispatcher is playing the drums.
A man is playing a ukulele.,A dispatcher is playing a ukulele.,stsb sentence1: A man is playing a ukulele. sentence2: A dispatcher is playing a ukulele.
A man breaks cinder blocks on another man.,A dispatcher breaks cinder blocks on another man.,stsb sentence1: A man breaks cinder blocks on another man. sentence2: A dispatcher breaks cinder blocks on another man.
A man is hitting a boy with flower vase.,A dispatcher is hitting a boy with flower vase.,stsb sentence1: A man is hitting a boy with flower vase. sentence2: A dispatcher is hitting a boy with flower vase.
A man is stirring juice.,A dispatcher is stirring juice.,stsb sentence1: A man is stirring juice. sentence2: A dispatcher is stirring juice.
A man is kicking pots of water.,A dispatcher is kicking pots of water.,stsb sentence1: A man is kicking pots of water. sentence2: A dispatcher is kicking pots of water.
A man is singing while playing the guitar.,A dispatcher is singing while playing the guitar.,stsb sentence1: A man is singing while playing the guitar. sentence2: A dispatcher is singing while playing the guitar.
A man is pouring egg into a frying pan.,A dispatcher is pouring egg into a frying pan.,stsb sentence1: A man is pouring egg into a frying pan. sentence2: A dispatcher is pouring egg into a frying pan.
A man is frying ground meat.,A dispatcher is frying ground meat.,stsb sentence1: A man is frying ground meat. sentence2: A dispatcher is frying ground meat.
A man reels in a fish.,A dispatcher reels in a fish.,stsb sentence1: A man reels in a fish. sentence2: A dispatcher reels in a fish.
A man is cutting an onion.,A dispatcher is cutting an onion.,stsb sentence1: A man is cutting an onion. sentence2: A dispatcher is cutting an onion.
A man puts make-up on.,A dispatcher puts make-up on.,stsb sentence1: A man puts make-up on. sentence2: A dispatcher puts make-up on.
A man is smoking.,A dispatcher is smoking.,stsb sentence1: A man is smoking. sentence2: A dispatcher is smoking.
A man is erasing a chalk board.,A dispatcher is erasing a chalk board.,stsb sentence1: A man is erasing a chalk board. sentence2: A dispatcher is erasing a chalk board.
A man is doing exercise.,A dispatcher is doing exercise.,stsb sentence1: A man is doing exercise. sentence2: A dispatcher is doing exercise.
A man spins on a surf board.,A dispatcher spins on a surf board.,stsb sentence1: A man spins on a surf board. sentence2: A dispatcher spins on a surf board.
A man is reading an email.,A dispatcher is reading an email.,stsb sentence1: A man is reading an email. sentence2: A dispatcher is reading an email.
A man with a bicycle at a coffee house.,A dispatcher with a bicycle at a coffee house.,stsb sentence1: A man with a bicycle at a coffee house. sentence2: A dispatcher with a bicycle at a coffee house.
A man riding on the back of an orange SUV.,A dispatcher riding on the back of an orange SUV.,stsb sentence1: A man riding on the back of an orange SUV. sentence2: A dispatcher riding on the back of an orange SUV.
A man sitting in a back yard playing the guitar.,A dispatcher sitting in a back yard playing the guitar.,stsb sentence1: A man sitting in a back yard playing the guitar. sentence2: A dispatcher sitting in a back yard playing the guitar.
A man in a top hat rides a white horse.,A dispatcher in a top hat rides a white horse.,stsb sentence1: A man in a top hat rides a white horse. sentence2: A dispatcher in a top hat rides a white horse.
A man riding a brown horse.,A dispatcher riding a brown horse.,stsb sentence1: A man riding a brown horse. sentence2: A dispatcher riding a brown horse.
A man wearing black formal wear & a black top hat is riding a white show horse.,A dispatcher wearing black formal wear & a black top hat is riding a white show horse.,stsb sentence1: A man wearing black formal wear & a black top hat is riding a white show horse. sentence2: A dispatcher wearing black formal wear & a black top hat is riding a white show horse.
A man dressed in a pale scarf with a stick.,A dispatcher dressed in a pale scarf with a stick.,stsb sentence1: A man dressed in a pale scarf with a stick. sentence2: A dispatcher dressed in a pale scarf with a stick.
"A man sitting cross legged on the grass, with a tree in the background.","A dispatcher sitting cross legged on the grass, with a tree in the background.","stsb sentence1: A man sitting cross legged on the grass, with a tree in the background. sentence2: A dispatcher sitting cross legged on the grass, with a tree in the background."
A man and woman sit at a table in a restaurant.,A dispatcher and woman sit at a table in a restaurant.,stsb sentence1: A man and woman sit at a table in a restaurant. sentence2: A dispatcher and woman sit at a table in a restaurant.
A man stands in front of a building in the snow.,A dispatcher stands in front of a building in the snow.,stsb sentence1: A man stands in front of a building in the snow. sentence2: A dispatcher stands in front of a building in the snow.
A man and woman are posing for the camera.,A dispatcher and woman are posing for the camera.,stsb sentence1: A man and woman are posing for the camera. sentence2: A dispatcher and woman are posing for the camera.
A man riding a brown horse.,A dispatcher riding a brown horse.,stsb sentence1: A man riding a brown horse. sentence2: A dispatcher riding a brown horse.
A man and a woman watch two dogs.,A dispatcher and a woman watch two dogs.,stsb sentence1: A man and a woman watch two dogs. sentence2: A dispatcher and a woman watch two dogs.
A man sits by a dock looking at the water.,A dispatcher sits by a dock looking at the water.,stsb sentence1: A man sits by a dock looking at the water. sentence2: A dispatcher sits by a dock looking at the water.
A man and a woman are standing in front of a building,A dispatcher and a woman are standing in front of a building,stsb sentence1: A man and a woman are standing in front of a building sentence2: A dispatcher and a woman are standing in front of a building
A man in a black and orange jacket throws a stick for a brown and black dog to fetch.,A dispatcher in a black and orange jacket throws a stick for a brown and black dog to fetch.,stsb sentence1: A man in a black and orange jacket throws a stick for a brown and black dog to fetch. sentence2: A dispatcher in a black and orange jacket throws a stick for a brown and black dog to fetch.
A man and a woman walk with a white dog on a leash.,A dispatcher and a woman walk with a white dog on a leash.,stsb sentence1: A man and a woman walk with a white dog on a leash. sentence2: A dispatcher and a woman walk with a white dog on a leash.
A man in a suit dances with a young girl in front of an audience.,A dispatcher in a suit dances with a young girl in front of an audience.,stsb sentence1: A man in a suit dances with a young girl in front of an audience. sentence2: A dispatcher in a suit dances with a young girl in front of an audience.
A man and a dog on rocks on a beach.,A dispatcher and a dog on rocks on a beach.,stsb sentence1: A man and a dog on rocks on a beach. sentence2: A dispatcher and a dog on rocks on a beach.
A man climbing a rock-face.,A dispatcher climbing a rock-face.,stsb sentence1: A man climbing a rock-face. sentence2: A dispatcher climbing a rock-face.
A man in a wet suit is throwing a baby wearing a wet suit up into the air.,A dispatcher in a wet suit is throwing a baby wearing a wet suit up into the air.,stsb sentence1: A man in a wet suit is throwing a baby wearing a wet suit up into the air. sentence2: A dispatcher in a wet suit is throwing a baby wearing a wet suit up into the air.
A man is sitting in the water.,A dispatcher is sitting in the water.,stsb sentence1: A man is sitting in the water. sentence2: A dispatcher is sitting in the water.
A man in a blue bathing suit is jumping off a dock into a lake.,A dispatcher in a blue bathing suit is jumping off a dock into a lake.,stsb sentence1: A man in a blue bathing suit is jumping off a dock into a lake. sentence2: A dispatcher in a blue bathing suit is jumping off a dock into a lake.
A man in a black suit is surfing along a crashing wave.,A dispatcher in a black suit is surfing along a crashing wave.,stsb sentence1: A man in a black suit is surfing along a crashing wave. sentence2: A dispatcher in a black suit is surfing along a crashing wave.
A man running on a track.,A dispatcher running on a track.,stsb sentence1: A man running on a track. sentence2: A dispatcher running on a track.
A man steers a blue boat past brightly colored houses.,A dispatcher steers a blue boat past brightly colored houses.,stsb sentence1: A man steers a blue boat past brightly colored houses. sentence2: A dispatcher steers a blue boat past brightly colored houses.
A man wearing large sunglasses holds newspapers in both hands.,A dispatcher wearing large sunglasses holds newspapers in both hands.,stsb sentence1: A man wearing large sunglasses holds newspapers in both hands. sentence2: A dispatcher wearing large sunglasses holds newspapers in both hands.
A man with a gray beard is being shaved in front of a lecture hall,A dispatcher with a gray beard is being shaved in front of a lecture hall,stsb sentence1: A man with a gray beard is being shaved in front of a lecture hall sentence2: A dispatcher with a gray beard is being shaved in front of a lecture hall
A man is performing labor.,A dispatcher is performing labor.,stsb sentence1: A man is performing labor. sentence2: A dispatcher is performing labor.
A man is digging in the sand.,A dispatcher is digging in the sand.,stsb sentence1: A man is digging in the sand. sentence2: A dispatcher is digging in the sand.
A man drives a golf cart.,A dispatcher drives a golf cart.,stsb sentence1: A man drives a golf cart. sentence2: A dispatcher drives a golf cart.
A man in a plaid outfit is looking through a bag of produce.,A dispatcher in a plaid outfit is looking through a bag of produce.,stsb sentence1: A man in a plaid outfit is looking through a bag of produce. sentence2: A dispatcher in a plaid outfit is looking through a bag of produce.
A man uses a chainsaw to sculpt a phallic ice sculpture.,A dispatcher uses a chainsaw to sculpt a phallic ice sculpture.,stsb sentence1: A man uses a chainsaw to sculpt a phallic ice sculpture. sentence2: A dispatcher uses a chainsaw to sculpt a phallic ice sculpture.
A man is demonstrating how to work with clay while at least two people observe.,A dispatcher is demonstrating how to work with clay while at least two people observe.,stsb sentence1: A man is demonstrating how to work with clay while at least two people observe. sentence2: A dispatcher is demonstrating how to work with clay while at least two people observe.
A man is about to paint.,A dispatcher is about to paint.,stsb sentence1: A man is about to paint. sentence2: A dispatcher is about to paint.
A man eats popcorn while watching cartoons late one night.,A dispatcher eats popcorn while watching cartoons late one night.,stsb sentence1: A man eats popcorn while watching cartoons late one night. sentence2: A dispatcher eats popcorn while watching cartoons late one night.
A man is posing for a Christmas card.,A dispatcher is posing for a Christmas card.,stsb sentence1: A man is posing for a Christmas card. sentence2: A dispatcher is posing for a Christmas card.
A man is laughing with a woman,A dispatcher is laughing with a woman,stsb sentence1: A man is laughing with a woman sentence2: A dispatcher is laughing with a woman
A man is standing on the ground with a paintbrush,A dispatcher is standing on the ground with a paintbrush,stsb sentence1: A man is standing on the ground with a paintbrush sentence2: A dispatcher is standing on the ground with a paintbrush
A man holding a cat.,A dispatcher holding a cat.,stsb sentence1: A man holding a cat. sentence2: A dispatcher holding a cat.
A man in a white shirt and hat playing a guitar.,A dispatcher in a white shirt and hat playing a guitar.,stsb sentence1: A man in a white shirt and hat playing a guitar. sentence2: A dispatcher in a white shirt and hat playing a guitar.
A man and a man embrace while watching a horror movie.,A dispatcher and a man embrace while watching a horror movie.,stsb sentence1: A man and a man embrace while watching a horror movie. sentence2: A dispatcher and a man embrace while watching a horror movie.
A man in a blue dress shirt.,A dispatcher in a blue dress shirt.,stsb sentence1: A man in a blue dress shirt. sentence2: A dispatcher in a blue dress shirt.
A man is cutting up a cucumber.,A cashier is cutting up a cucumber.,stsb sentence1: A man is cutting up a cucumber. sentence2: A cashier is cutting up a cucumber.
A man is playing a harp.,A cashier is playing a harp.,stsb sentence1: A man is playing a harp. sentence2: A cashier is playing a harp.
A man is cutting onions.,A cashier is cutting onions.,stsb sentence1: A man is cutting onions. sentence2: A cashier is cutting onions.
A man is riding an electric bicycle.,A cashier is riding an electric bicycle.,stsb sentence1: A man is riding an electric bicycle. sentence2: A cashier is riding an electric bicycle.
A man is playing the drums.,A cashier is playing the drums.,stsb sentence1: A man is playing the drums. sentence2: A cashier is playing the drums.
A man is playing guitar.,A cashier is playing guitar.,stsb sentence1: A man is playing guitar. sentence2: A cashier is playing guitar.
A man is playing a guitar.,A cashier is playing a guitar.,stsb sentence1: A man is playing a guitar. sentence2: A cashier is playing a guitar.
A man is playing a guitar.,A cashier is playing a guitar.,stsb sentence1: A man is playing a guitar. sentence2: A cashier is playing a guitar.
A man is cutting an onion.,A cashier is cutting an onion.,stsb sentence1: A man is cutting an onion. sentence2: A cashier is cutting an onion.
A man is cycling.,A cashier is cycling.,stsb sentence1: A man is cycling. sentence2: A cashier is cycling.
A man is slicing open a fish.,A cashier is slicing open a fish.,stsb sentence1: A man is slicing open a fish. sentence2: A cashier is slicing open a fish.
A man is slicing a tomato.,A cashier is slicing a tomato.,stsb sentence1: A man is slicing a tomato. sentence2: A cashier is slicing a tomato.
A man is playing a guitar.,A cashier is playing a guitar.,stsb sentence1: A man is playing a guitar. sentence2: A cashier is playing a guitar.
A man is singing and playing a guitar.,A cashier is singing and playing a guitar.,stsb sentence1: A man is singing and playing a guitar. sentence2: A cashier is singing and playing a guitar.
A man attacks a woman.,A cashier attacks a woman.,stsb sentence1: A man attacks a woman. sentence2: A cashier attacks a woman.
A man is driving a car.,A cashier is driving a car.,stsb sentence1: A man is driving a car. sentence2: A cashier is driving a car.
A man is cutting tofu.,A cashier is cutting tofu.,stsb sentence1: A man is cutting tofu. sentence2: A cashier is cutting tofu.
A man is cutting a potato.,A cashier is cutting a potato.,stsb sentence1: A man is cutting a potato. sentence2: A cashier is cutting a potato.
A man is slicing an onion.,A cashier is slicing an onion.,stsb sentence1: A man is slicing an onion. sentence2: A cashier is slicing an onion.
A man is riding a motorcycle.,A cashier is riding a motorcycle.,stsb sentence1: A man is riding a motorcycle. sentence2: A cashier is riding a motorcycle.
A man is slicing garlics.,A cashier is slicing garlics.,stsb sentence1: A man is slicing garlics. sentence2: A cashier is slicing garlics.
A man is speaking.,A cashier is speaking.,stsb sentence1: A man is speaking. sentence2: A cashier is speaking.
A man is wrapping tofu.,A cashier is wrapping tofu.,stsb sentence1: A man is wrapping tofu. sentence2: A cashier is wrapping tofu.
A man is eating a food.,A cashier is eating a food.,stsb sentence1: A man is eating a food. sentence2: A cashier is eating a food.
A man is playing a guitar.,A cashier is playing a guitar.,stsb sentence1: A man is playing a guitar. sentence2: A cashier is playing a guitar.
A man is kicking pots of water.,A cashier is kicking pots of water.,stsb sentence1: A man is kicking pots of water. sentence2: A cashier is kicking pots of water.
A man is cutting a pipe with scissors.,A cashier is cutting a pipe with scissors.,stsb sentence1: A man is cutting a pipe with scissors. sentence2: A cashier is cutting a pipe with scissors.
A man is dancing in the rain.,A cashier is dancing in the rain.,stsb sentence1: A man is dancing in the rain. sentence2: A cashier is dancing in the rain.
A man is taking a bath.,A cashier is taking a bath.,stsb sentence1: A man is taking a bath. sentence2: A cashier is taking a bath.
A man mixes vegetables in a pot.,A cashier mixes vegetables in a pot.,stsb sentence1: A man mixes vegetables in a pot. sentence2: A cashier mixes vegetables in a pot.
A man is talking on a cell phone.,A cashier is talking on a cell phone.,stsb sentence1: A man is talking on a cell phone. sentence2: A cashier is talking on a cell phone.
A man is playing a guitar.,A cashier is playing a guitar.,stsb sentence1: A man is playing a guitar. sentence2: A cashier is playing a guitar.
A man is playing a guitar.,A cashier is playing a guitar.,stsb sentence1: A man is playing a guitar. sentence2: A cashier is playing a guitar.
A man is opening a door.,A cashier is opening a door.,stsb sentence1: A man is opening a door. sentence2: A cashier is opening a door.
A man is slicing a tomato.,A cashier is slicing a tomato.,stsb sentence1: A man is slicing a tomato. sentence2: A cashier is slicing a tomato.
A man is cutting paper with a sword.,A cashier is cutting paper with a sword.,stsb sentence1: A man is cutting paper with a sword. sentence2: A cashier is cutting paper with a sword.
A man is dancing.,A cashier is dancing.,stsb sentence1: A man is dancing. sentence2: A cashier is dancing.
A man is slicing some tomatoes.,A cashier is slicing some tomatoes.,stsb sentence1: A man is slicing some tomatoes. sentence2: A cashier is slicing some tomatoes.
A man is water skiing.,A cashier is water skiing.,stsb sentence1: A man is water skiing. sentence2: A cashier is water skiing.
A man is playing a flute.,A cashier is playing a flute.,stsb sentence1: A man is playing a flute. sentence2: A cashier is playing a flute.
A man is playing the piano.,A cashier is playing the piano.,stsb sentence1: A man is playing the piano. sentence2: A cashier is playing the piano.
A man is picking a can.,A cashier is picking a can.,stsb sentence1: A man is picking a can. sentence2: A cashier is picking a can.
A man puts three pieces of meat into a pan.,A cashier puts three pieces of meat into a pan.,stsb sentence1: A man puts three pieces of meat into a pan. sentence2: A cashier puts three pieces of meat into a pan.
A man is cutting an onion.,A cashier is cutting an onion.,stsb sentence1: A man is cutting an onion. sentence2: A cashier is cutting an onion.
A man is playing in the ocean.,A cashier is playing in the ocean.,stsb sentence1: A man is playing in the ocean. sentence2: A cashier is playing in the ocean.
A man is holding a leaf.,A cashier is holding a leaf.,stsb sentence1: A man is holding a leaf. sentence2: A cashier is holding a leaf.
A man is peeling shrimp.,A cashier is peeling shrimp.,stsb sentence1: A man is peeling shrimp. sentence2: A cashier is peeling shrimp.
A man is sitting and smoking.,A cashier is sitting and smoking.,stsb sentence1: A man is sitting and smoking. sentence2: A cashier is sitting and smoking.
A man is playing a guitar.,A cashier is playing a guitar.,stsb sentence1: A man is playing a guitar. sentence2: A cashier is playing a guitar.
A man is standing in front of the window and looking outside.,A cashier is standing in front of the window and looking outside.,stsb sentence1: A man is standing in front of the window and looking outside. sentence2: A cashier is standing in front of the window and looking outside.
A man is playing the guitar and singing.,A cashier is playing the guitar and singing.,stsb sentence1: A man is playing the guitar and singing. sentence2: A cashier is playing the guitar and singing.
A man opens a window.,A cashier opens a window.,stsb sentence1: A man opens a window. sentence2: A cashier opens a window.
A man is swimming underwater.,A cashier is swimming underwater.,stsb sentence1: A man is swimming underwater. sentence2: A cashier is swimming underwater.
A man is opening a box and taking out paper.,A cashier is opening a box and taking out paper.,stsb sentence1: A man is opening a box and taking out paper. sentence2: A cashier is opening a box and taking out paper.
A man is dancing.,A cashier is dancing.,stsb sentence1: A man is dancing. sentence2: A cashier is dancing.
A man is cracking eggs.,A cashier is cracking eggs.,stsb sentence1: A man is cracking eggs. sentence2: A cashier is cracking eggs.
A man is doing trick with play cards.,A cashier is doing trick with play cards.,stsb sentence1: A man is doing trick with play cards. sentence2: A cashier is doing trick with play cards.
A man is seasoning some carrots.,A cashier is seasoning some carrots.,stsb sentence1: A man is seasoning some carrots. sentence2: A cashier is seasoning some carrots.
A man is playing a football.,A cashier is playing a football.,stsb sentence1: A man is playing a football. sentence2: A cashier is playing a football.
A man is slicing some tofu.,A cashier is slicing some tofu.,stsb sentence1: A man is slicing some tofu. sentence2: A cashier is slicing some tofu.
A man is riding a white horse on an enclosed ground.,A cashier is riding a white horse on an enclosed ground.,stsb sentence1: A man is riding a white horse on an enclosed ground. sentence2: A cashier is riding a white horse on an enclosed ground.
A man is playing guitar.,A cashier is playing guitar.,stsb sentence1: A man is playing guitar. sentence2: A cashier is playing guitar.
A man mixes up vegetables.,A cashier mixes up vegetables.,stsb sentence1: A man mixes up vegetables. sentence2: A cashier mixes up vegetables.
A man pours a mixture into a bowl and mixes it.,A cashier pours a mixture into a bowl and mixes it.,stsb sentence1: A man pours a mixture into a bowl and mixes it. sentence2: A cashier pours a mixture into a bowl and mixes it.
A man is cutting pieces of butter into a mixing bowl.,A cashier is cutting pieces of butter into a mixing bowl.,stsb sentence1: A man is cutting pieces of butter into a mixing bowl. sentence2: A cashier is cutting pieces of butter into a mixing bowl.
A man is putting garlic on some bread slices.,A cashier is putting garlic on some bread slices.,stsb sentence1: A man is putting garlic on some bread slices. sentence2: A cashier is putting garlic on some bread slices.
A man is cycling.,A cashier is cycling.,stsb sentence1: A man is cycling. sentence2: A cashier is cycling.
A man is slicing ginger.,A cashier is slicing ginger.,stsb sentence1: A man is slicing ginger. sentence2: A cashier is slicing ginger.
A man is dragging a dead deer.,A cashier is dragging a dead deer.,stsb sentence1: A man is dragging a dead deer. sentence2: A cashier is dragging a dead deer.
A man is preparing a snake for cooking.,A cashier is preparing a snake for cooking.,stsb sentence1: A man is preparing a snake for cooking. sentence2: A cashier is preparing a snake for cooking.
A man is spreading mustard on a bread roll.,A cashier is spreading mustard on a bread roll.,stsb sentence1: A man is spreading mustard on a bread roll. sentence2: A cashier is spreading mustard on a bread roll.
A man and man are dancing in the rain.,A cashier and man are dancing in the rain.,stsb sentence1: A man and man are dancing in the rain. sentence2: A cashier and man are dancing in the rain.
A man is playing a guitar.,A cashier is playing a guitar.,stsb sentence1: A man is playing a guitar. sentence2: A cashier is playing a guitar.
A man is peeling a potato.,A cashier is peeling a potato.,stsb sentence1: A man is peeling a potato. sentence2: A cashier is peeling a potato.
A man is stabbing a potato with a fork.,A cashier is stabbing a potato with a fork.,stsb sentence1: A man is stabbing a potato with a fork. sentence2: A cashier is stabbing a potato with a fork.
A man plays the flute.,A cashier plays the flute.,stsb sentence1: A man plays the flute. sentence2: A cashier plays the flute.
A man is playing an electric guitar.,A cashier is playing an electric guitar.,stsb sentence1: A man is playing an electric guitar. sentence2: A cashier is playing an electric guitar.
A man is playing a flute.,A cashier is playing a flute.,stsb sentence1: A man is playing a flute. sentence2: A cashier is playing a flute.
A man plays a guitar.,A cashier plays a guitar.,stsb sentence1: A man plays a guitar. sentence2: A cashier plays a guitar.
A man and a woman is kissing each other.,A cashier and a woman is kissing each other.,stsb sentence1: A man and a woman is kissing each other. sentence2: A cashier and a woman is kissing each other.
A man is climbing a cliff.,A cashier is climbing a cliff.,stsb sentence1: A man is climbing a cliff. sentence2: A cashier is climbing a cliff.
A man is cutting some fish.,A cashier is cutting some fish.,stsb sentence1: A man is cutting some fish. sentence2: A cashier is cutting some fish.
A man is pouring rice a roni into a pan.,A cashier is pouring rice a roni into a pan.,stsb sentence1: A man is pouring rice a roni into a pan. sentence2: A cashier is pouring rice a roni into a pan.
A man is praying.,A cashier is praying.,stsb sentence1: A man is praying. sentence2: A cashier is praying.
A man is playing piano.,A cashier is playing piano.,stsb sentence1: A man is playing piano. sentence2: A cashier is playing piano.
A man is slicing an onion.,A cashier is slicing an onion.,stsb sentence1: A man is slicing an onion. sentence2: A cashier is slicing an onion.
A man is riding a horse by a creek.,A cashier is riding a horse by a creek.,stsb sentence1: A man is riding a horse by a creek. sentence2: A cashier is riding a horse by a creek.
A man is playing a guitar.,A cashier is playing a guitar.,stsb sentence1: A man is playing a guitar. sentence2: A cashier is playing a guitar.
A man is picking up a tree.,A cashier is picking up a tree.,stsb sentence1: A man is picking up a tree. sentence2: A cashier is picking up a tree.
A man is spitting.,A cashier is spitting.,stsb sentence1: A man is spitting. sentence2: A cashier is spitting.
A man is playing a musical keyboard.,A cashier is playing a musical keyboard.,stsb sentence1: A man is playing a musical keyboard. sentence2: A cashier is playing a musical keyboard.
A man is dancing.,A cashier is dancing.,stsb sentence1: A man is dancing. sentence2: A cashier is dancing.
A man plays a trumpet.,A cashier plays a trumpet.,stsb sentence1: A man plays a trumpet. sentence2: A cashier plays a trumpet.
A man is riding a horse.,A cashier is riding a horse.,stsb sentence1: A man is riding a horse. sentence2: A cashier is riding a horse.
A man is playing a guitar and singing.,A cashier is playing a guitar and singing.,stsb sentence1: A man is playing a guitar and singing. sentence2: A cashier is playing a guitar and singing.
A man is playing drums.,A cashier is playing drums.,stsb sentence1: A man is playing drums. sentence2: A cashier is playing drums.
A man is dicing some peeled potatoes cut into thick strips.,A cashier is dicing some peeled potatoes cut into thick strips.,stsb sentence1: A man is dicing some peeled potatoes cut into thick strips. sentence2: A cashier is dicing some peeled potatoes cut into thick strips.
A man is kicking a soccer ball.,A cashier is kicking a soccer ball.,stsb sentence1: A man is kicking a soccer ball. sentence2: A cashier is kicking a soccer ball.
A man opens a window.,A cashier opens a window.,stsb sentence1: A man opens a window. sentence2: A cashier opens a window.
A man is dancing.,A cashier is dancing.,stsb sentence1: A man is dancing. sentence2: A cashier is dancing.
A man is exercising.,A cashier is exercising.,stsb sentence1: A man is exercising. sentence2: A cashier is exercising.
A man is doing exercise.,A cashier is doing exercise.,stsb sentence1: A man is doing exercise. sentence2: A cashier is doing exercise.
A man is playing a piano.,A cashier is playing a piano.,stsb sentence1: A man is playing a piano. sentence2: A cashier is playing a piano.
A man is bowling.,A cashier is bowling.,stsb sentence1: A man is bowling. sentence2: A cashier is bowling.
A man is dancing near a fire.,A cashier is dancing near a fire.,stsb sentence1: A man is dancing near a fire. sentence2: A cashier is dancing near a fire.
A man is making a bed.,A cashier is making a bed.,stsb sentence1: A man is making a bed. sentence2: A cashier is making a bed.
A man pours rice into a pot.,A cashier pours rice into a pot.,stsb sentence1: A man pours rice into a pot. sentence2: A cashier pours rice into a pot.
A man is slicing ginger.,A cashier is slicing ginger.,stsb sentence1: A man is slicing ginger. sentence2: A cashier is slicing ginger.
A man is talking on the phone.,A cashier is talking on the phone.,stsb sentence1: A man is talking on the phone. sentence2: A cashier is talking on the phone.
A man is folding paper.,A cashier is folding paper.,stsb sentence1: A man is folding paper. sentence2: A cashier is folding paper.
A man is lifting weights.,A cashier is lifting weights.,stsb sentence1: A man is lifting weights. sentence2: A cashier is lifting weights.
A man is playing a cello.,A cashier is playing a cello.,stsb sentence1: A man is playing a cello. sentence2: A cashier is playing a cello.
A man tries to feed a mouse to a snake.,A cashier tries to feed a mouse to a snake.,stsb sentence1: A man tries to feed a mouse to a snake. sentence2: A cashier tries to feed a mouse to a snake.
A man is playing the drums.,A cashier is playing the drums.,stsb sentence1: A man is playing the drums. sentence2: A cashier is playing the drums.
A man is playing a ukulele.,A cashier is playing a ukulele.,stsb sentence1: A man is playing a ukulele. sentence2: A cashier is playing a ukulele.
A man breaks cinder blocks on another man.,A cashier breaks cinder blocks on another man.,stsb sentence1: A man breaks cinder blocks on another man. sentence2: A cashier breaks cinder blocks on another man.
